group,variable,value,,,,
1,A,1,,,,
1,B,1,,,,
1,C,1,,,,
1,D,1,,,,
1,E,1,,,,
1,F,1,,,,
1,G,1,,,,
1,H,1,,,,
1,I,1,,,,
2,A,1,,,,
2,B,1,,,,
2,C,1,,,,
2,D,1,,,,
2,E,1,,,,
2,F,1,,,,
2,G,1,,,,
2,H,1,,,,
2,I,1,,,,
3,A,1,,,,
3,B,1,,,,
3,C,1,,,,
3,D,1,,,,
3,E,1,,,,
3,F,1,,,,
3,G,1,,,,
3,H,1,,,,
3,I,1,,,,
4,A,1,,,,
4,B,1,,,,
4,C,1,,,,
4,D,1,,,,
4,E,1,,,,
4,F,1,,,,
4,G,1,,,,
4,H,1,,,,
4,I,1,,,,
5,A,1,,,,
5,B,1,,,,
5,C,1,,,,
5,D,1,,,,
5,E,1,,,,
5,F,1,,,,
5,G,1,,,,
5,H,1,,,,
5,I,1,,,,
6,A,1,,,,
6,B,1,,,,
6,C,1,,,,
6,D,1,,,,
6,E,1,,,,
6,F,1,,,,
6,G,1,,,,
6,H,1,,,,
6,I,1,,,,
7,A,1,,,,
7,B,1,,,,
7,C,1,,,,
7,D,1,,,,
7,E,1,,,,
7,F,1,,,,
7,G,1,,,,
7,H,1,,,,
7,I,1,,,,